slug,name,tier,type,curator,aliases
cho-chikun-an-encyclopedia-of-life-death-for-beginners,"Cho Chikun ""An Encyclopedia of Life & Death"" - for Beginners",premier,author,Cho Chikun,"Cho Chikun's ""An Encyclopedia of Life & Death"" - for Beginners"
cho-chikun-elementary-problems-from-200,Cho Chikun Elementary problems (from 200),premier,author,Cho Chikun,Cho Chikun Elementary problems (from 200)
cho-chikun-life-and-death,Cho Chikun - Life and Death,curated,author,Cho Chikun,Cho Chikun - Life and Death
cho-chikun-s-encyclopedia-of-life-and-death-part-1-elementary-pr,Cho Chikun’s encyclopedia of life and death. Part 1: elementary problems,premier,author,Cho Chikun,Cho Chikun’s encyclopedia of life and death. Part 1: elementary problems
cho-nam-chul,Cho Nam Chul,premier,reference,Community,Cho Nam Chul
chu-ji-wei-qi-ti-mu,初級圍棋題目,curated,reference,Community,初級圍棋題目
chu-xin-wei-qi-jiao-xue-level-1,初心圍棋教學 Level 1,curated,reference,Community,初心圍棋教學 Level 1
chuan-bi-choi-ban-23x23,chuẩn bị chơi bàn 23x23,curated,reference,Community,chuẩn bị chơi bàn 23x23
class-5-homework-corrected-mistakes-on-q4-5-and-11,"Class 5 Homework(corrected mistakes on Q4, 5, and 11)",curated,reference,Community,"Class 5 Homework(corrected mistakes on Q4, 5, and 11)"
clossius-beginner-go-puzzles,Clossius Beginner Go Puzzles,premier,graded,Community,Clossius Beginner Go Puzzles
coleccion-tutorial-en-espanol,Colección Tutorial en español,premier,reference,Community,Colección Tutorial en español
common-josekis-for-beginners,Common Josekis for Beginners,curated,graded,Community,Common Josekis's for Beginners
common-shapes-you-should-know,Common Shapes you should know,curated,reference,Community,Common Shapes you should know
conexion-y-corte-1,conexión y corte 1,premier,reference,Community,conexión y corte 1
conexion-y-corte-ii,conexión y corte II,curated,reference,Community,conexión y corte II
conexion-y-corte-iii,conexión y corte III,curated,reference,Community,conexión y corte III
connecting-stones,Connecting Stones,curated,technique,Community,Connecting Stones
cool-puzzle,COOL PUZZLE,curated,reference,Community,COOL PUZZLE
correcting-my-breakpoints-size-9x9,Correcting my breakpoints size 9x9,premier,reference,Community,Correcting my breakpoints size 9x9
correcting-my-breakpoints-size-9x9-level-2,Correcting my breakpoints size 9x9 level 2,curated,reference,Community,Correcting my breakpoints size 9x9 level 2
critical-moment-of-life-and-death-1,Critical moment of Life and Death 1,curated,technique,Community,Critical moment of Life and Death 1
crush-oshi-tsubushi-14-kyu-10-kyu,Crush (Oshi-tsubushi) 14 kyu-10 kyu,premier,graded,Community,Crush (Oshi-tsubushi) 14 kyu-10 kyu
crush-oshi-tsubushi-4-kyu-5-dan,Crush (Oshi-tsubushi) 4 kyu-5 dan,curated,graded,Community,Crush (Oshi-tsubushi) 4 kyu-5 dan
crush-oshi-tsubushi-9-kyu-5-kyu,Crush (Oshi-tsubushi) 9 kyu-5 kyu,premier,graded,Community,Crush (Oshi-tsubushi) 9 kyu-5 kyu
cuop-tren-lop,Cướp trên lớp,premier,reference,Community,Cướp trên lớp
curso-nivel-1-vida-y-muerte-i,CURSO NIVEL 1: VIDA Y MUERTE I,curated,reference,Community,CURSO NIVEL 1: VIDA Y MUERTE I
da-chi-hou-zuo-huo-live-after-atari,打吃後做活 Live after atari,curated,technique,Community,打吃後做活 Live after atari
da-er-huan-yi-zuo-huo-capture-two-recapture-one-to-live,"打二還一做活 Capture two, recapture one to live",curated,technique,Community,"打二還一做活 Capture two, recapture one to live"
da-jie-ko-rule,打劫 Ko rule,premier,technique,Community,打劫 Ko rule
da-zhu-zui-xing-j-group,大豬嘴型 J group,curated,reference,Community,大豬嘴型 J group
dabebil-aataari,ดับเบิล อาตาริ,curated,reference,Community,ดับเบิล อาตาริ
dan-guan-dame-neutral-points,單官 dame (neutral points),premier,reference,Community,單官 dame (neutral points)
dao-pu-snapback,倒樸 Snapback,premier,reference,Community,倒樸 Snapback
darwinsais-puzzles,darwinsais puzzles,curated,reference,Community,darwinsais puzzles
day-1,day 1,premier,reference,Community,day  1
day-2,day 2,premier,reference,Community,day 2
day-3,day 3,premier,reference,Community,day 3
day-4,day 4,premier,reference,Community,day 4
day-5,day 5,premier,reference,Community,day 5
day-6,day 6,premier,reference,Community,day  6
day-7,day 7,premier,reference,Community,day 7
day-8,day 8,curated,reference,Community,day 8
day-9,day 9,curated,reference,Community,day 9
death-si-1,Death 死 1,curated,reference,Community,Death 死 1
denizy,denizy,curated,reference,Community,denizy
dgm-fuseki-puzzles-more,DGM Fuseki Puzzles & More,curated,reference,Community,DGM Fuseki Puzzles & More [Atorrante]
dian-bu-si-de-qi-xing-living-eye-shapes,點不死的棋型 Living eye shapes,premier,reference,Community,點不死的棋型　Living eye shapes
difficultish-puzzles,Difficultish Puzzles,curated,reference,Community,Difficultish Puzzles
dinh-thuc-pda,Định thức PĐA,curated,reference,Community,Định thức PĐA
dlia-novichkov,Для новичков,curated,reference,Community,Для новичков
doble-atari-elemental,Doble atari elemental,premier,reference,Community,Doble atari elemental
doble-boca-de-tigre,doble boca de tigre,curated,reference,Community,doble boca de tigre
doi-co-vay-truong-dai-hoc-y-duoc-hue-luat-co-ban-1,Đội Cờ vây Trường Đại Học Y dược Huế - Luật cơ bản #1,curated,reference,Community,Đội Cờ vây Trường Đại Học Y dược Huế - Luật cơ bản #1
doi-sat-tren-lop,Đối sát trên lớp,curated,reference,Community,Đối sát trên lớp
don-t-click-this,Don't click this,curated,reference,Community,Don't click this
double-atari,double atari,curated,reference,Community,double atari
duan-chi-capture-by-divide,斷吃 Capture by divide,premier,technique,Community,斷吃 Capture by divide
