priority_score,puzzle_count,ogs_id,status,slug_generated,slug_unidecode,cleaned_name,original_name,unidecode_name,tier,matched_to
0.5903,50,3601,new_entry,madgo-hkgca-tesuji-for-beginners,madgo-hkgca-tesuji-for-beginners-chu-jie-shou-jin,Madgo(HKGCA)_Tesuji for Beginners(初階手筋),Madgo(HKGCA)_Tesuji for Beginners(初階手筋),Madgo(HKGCA)_Tesuji for Beginners(Chu Jie Shou Jin ),premier,
0.5896,51,3055,new_entry,101weiqi-capturing-races,101weiqi-capturing-races,101Weiqi : Capturing Races,101Weiqi : Capturing Races,101Weiqi : Capturing Races,premier,
0.5887,260,317,new_entry,cho-nam-chul,cho-nam-chul,Cho Nam Chul,Cho Nam Chul,Cho Nam Chul,premier,
0.5855,37,9704,new_entry,capture-concept,capture-concept,Capture Concept,Capture Concept,Capture Concept,premier,
0.5842,145,89,new_entry,a-basic-dictionary-of-life-and-death-volume-one,a-basic-dictionary-of-life-and-death-volume-one,A Basic Dictionary of Life and Death Volume One,A Basic Dictionary of Life and Death Volume One,A Basic Dictionary of Life and Death Volume One,premier,
0.5833,22,106,new_entry,how-to-become-a-dan,how-to-become-a-dan,How to Become a Dan,How to Become a Dan,How to Become a Dan,premier,
0.5821,105,7352,new_entry,20-15,20-15kiu,20-15кю,20-15кю,20-15kiu,premier,
0.582,148,10909,new_entry,o-g-s-learn-to-play-go-part-5-35-5-49,o-g-s-learn-to-play-go-part-5-35-5-49,O.G.S.: Learn to play go part 5.35 ~ 5.49,O.G.S.: Learn to play go part 5.35 ~ 5.49 [Atorrante],O.G.S.: Learn to play go part 5.35 ~ 5.49 [Atorrante],premier,
0.5819,253,10133,already_matched,making-good-shape-mastering-the-basics-iii-rob-von-zeijst-and-ri,making-good-shape-mastering-the-basics-iii-rob-von-zeijst-and-ri,Making Good Shape (Mastering the Basics III) Rob von Zeijst and Richard Bozulich,Making Good Shape (Mastering the Basics III) Rob von Zeijst and Richard Bozulich,Making Good Shape (Mastering the Basics III) Rob von Zeijst and Richard Bozulich,premier,shape-problems
0.5817,60,6424,new_entry,capture-skills-for-beginner,capture-skills-for-beginner,Capture Skills for Beginner,Capture Skills for Beginner,Capture Skills for Beginner,premier,
0.5814,51,8312,new_entry,btvn-bu-i-1-extra,btvn-buoi-1-extra,BTVN buổi 1 extra,BTVN buổi 1 extra,BTVN buoi 1 extra,premier,
0.5808,82,3854,new_entry,life-and-death-problems-collection-intermediate-advanced,life-and-death-problems-collection-intermediate-advanced,Life and death problems collection- intermediate/advanced,Life and death problems collection- intermediate/advanced,Life and death problems collection- intermediate/advanced,premier,
0.5802,231,10954,new_entry,o-g-s-learn-to-play-go-part-6-48-6-63,o-g-s-learn-to-play-go-part-6-48-6-63,O.G.S.: Learn to play go part 6.48 ~ 6.63,O.G.S.: Learn to play go part 6.48 ~ 6.63 [Atorrante],O.G.S.: Learn to play go part 6.48 ~ 6.63 [Atorrante],premier,
0.5797,1000,4415,new_entry,joseki-almost-antique-corner-sequences-3001-4000,joseki-almost-antique-corner-sequences-3001-4000,JOSEKI: Almost antique corner sequences: 3001-4000,JOSEKI: Almost antique corner sequences: 3001-4000 [Atorrante],JOSEKI: Almost antique corner sequences: 3001-4000 [Atorrante],premier,
0.5796,13,5565,new_entry,escape-1,tao-zi-escape-1,逃子 Escape 1,逃子 Escape 1,Tao Zi  Escape 1,premier,
0.5792,205,707,new_entry,life-and-death-1000-problems-by-wang-zhipeng,life-and-death-1000-problems-by-wang-zhipeng,Life and Death 1000 Problems by Wang Zhipeng,Life and Death 1000 Problems by Wang Zhipeng,Life and Death 1000 Problems by Wang Zhipeng,premier,
0.5785,18,7122,new_entry,ogs-1,badugyi-gico-1,바둑의 기초 1,바둑의 기초 1,badugyi gico 1,premier,
0.5784,92,596,new_entry,jennica-tsumego,jennica-tsumego,Jennica Tsumego,Jennica's Tsumego,Jennica's Tsumego,premier,
0.5779,108,4549,new_entry,correcting-my-breakpoints-size-9x9,correcting-my-breakpoints-size-9x9,Correcting my breakpoints size 9x9,Correcting my breakpoints size 9x9,Correcting my breakpoints size 9x9,premier,
0.5778,25,6926,new_entry,101weiqi-capture-by-shunt-bao-chi-15-10k,101weiqi-capture-by-shunt-bao-chi-15-10k,"101Weiqi: Capture by Shunt (Bao Chi), 15-10k","101Weiqi: Capture by Shunt (Bao Chi), 15-10k","101Weiqi: Capture by Shunt (Bao Chi), 15-10k",premier,
0.5777,60,84,new_entry,gogameguru-easy-serie,gogameguru-easy-serie,gogameguru easy serie,gogameguru's easy serie,gogameguru's easy serie,premier,
0.5777,51,9905,new_entry,bptbg1,bptbg1,BPTBG1,BPTBG1,BPTBG1,premier,
0.5767,70,3276,new_entry,ogs-unknown,interaktivnoe-vvedenie-v-go,Интерактивное введение в Го,Интерактивное введение в Го,Interaktivnoe vvedenie v Go,premier,
0.5765,14,5579,new_entry,ko-rule,da-jie-ko-rule,打劫 Ko rule,打劫 Ko rule,Da Jie  Ko rule,premier,
0.5762,49,580,new_entry,basics-tutorial,basics-tutorial,Basics Tutorial,Basics Tutorial,Basics Tutorial,premier,
