priority_score,puzzle_count,ogs_id,status,slug_generated,slug_unidecode,cleaned_name,original_name,unidecode_name,tier,matched_to
0.5569,28,8148,new_entry,amigo-no-igo-for-beginners,amigo-no-igo-shi-woqu-rulian-xi-a-for-beginners,amigo no igo - 石を取る練習+α - for Beginners,amigo no igo - 石を取る練習+α -  for Beginners,amigo no igo - Shi woQu ruLian Xi +a -  for Beginners,premier,
0.5564,86,5347,new_entry,beginner-go-tutorial-volume-1,beginner-go-tutorial-volume-1,Beginner Go: Tutorial Volume 1,Beginner's Go: Tutorial Volume 1,Beginner's Go: Tutorial Volume 1,premier,
0.5563,130,7085,new_entry,beginner1,beginner1,Beginner1,Beginner1,Beginner1,premier,
0.5556,13,5673,already_matched,oiotoshi,jie-bu-gui-oiotoshi,接不歸 Oiotoshi,接不歸 Oiotoshi,Jie Bu Gui  Oiotoshi,premier,snapback-problems
0.5552,75,5538,new_entry,new-player-corse,new-player-corse,new player corse,new player corse,new player corse,premier,
0.5551,217,622,new_entry,ecole-de-go-de-rennes-25k,ecole-de-go-de-rennes-25k,Ecole de Go de Rennes - 25k,Ecole de Go de Rennes - 25k,Ecole de Go de Rennes - 25k,premier,
0.554,14,5974,new_entry,false-eyes,jia-yan-false-eyes,假眼 false eyes,假眼 false eyes,Jia Yan  false eyes,premier,
0.5531,22,9318,new_entry,basic-captures,basic-captures,Basic Captures,Basic Captures,Basic Captures,premier,
0.5526,14,5988,new_entry,1-territory-and-area-scoring-1,mu-shu-pan-duan-1-territory-and-area-scoring-1,目數判斷1 Territory and Area Scoring 1,目數判斷1 Territory and Area Scoring 1,Mu Shu Pan Duan 1 Territory and Area Scoring 1,premier,
0.5526,22,9742,slug_collision,ogs-unknown,ruuphniib,รูปหนีบ,รูปหนีบ,ruuphniib,premier,
0.5522,91,10601,new_entry,the-endgame-elementary-go-series-tomoko-ogawa-and-james-davies,the-endgame-elementary-go-series-tomoko-ogawa-and-james-davies,The Endgame (Elementary Go Series) Tomoko Ogawa and James Davies,The Endgame (Elementary Go Series)  Tomoko Ogawa and James Davies,The Endgame (Elementary Go Series)  Tomoko Ogawa and James Davies,premier,
0.5522,105,3721,new_entry,shape-up-problem-sets,shape-up-problem-sets,Shape Up! - Problem Sets,Shape Up! - Problem Sets,Shape Up! - Problem Sets,premier,
0.5519,68,6205,new_entry,tsumego-hero-easy-capture,tsumego-hero-easy-capture,Tsumego Hero Easy Capture,Tsumego Hero Easy Capture,Tsumego Hero Easy Capture,premier,
0.5519,13,6038,new_entry,connecting-the-edge,lian-pian-connecting-the-edge,連片 connecting the edge,連片 connecting the edge,Lian Pian  connecting the edge,premier,
0.5518,11,6232,new_entry,urgent-point-and-big-point,ji-suo-yu-da-chang-urgent-point-and-big-point,急所與大場 Urgent point and big point,急所與大場 Urgent point and big point,Ji Suo Yu Da Chang  Urgent point and big point,premier,
0.5511,33,1404,new_entry,level-up-2,level-up-2,Level Up.2,Level Up.2,Level Up.2,premier,
0.5509,73,9613,new_entry,water12345-shoujin-1,water12345-shoujin-1,water12345 - shoujin - 1,water12345 - shoujin - 1,water12345 - shoujin - 1,premier,
0.5507,85,7365,new_entry,20-15-3,20-15kiu-3,20-15кю 3,20-15кю 3,20-15kiu 3,premier,
0.5503,50,9832,new_entry,eyes-life-and-death,eyes-life-and-death,"Eyes, life and death","Eyes, life and death","Eyes, life and death",premier,
0.5502,189,10921,new_entry,o-g-s-learn-to-play-go-part-6-1-6-21,o-g-s-learn-to-play-go-part-6-1-6-21,O.G.S.: Learn to play go part 6.1 ~ 6.21,O.G.S.: Learn to play go part 6.1 ~ 6.21 [Atorrante],O.G.S.: Learn to play go part 6.1 ~ 6.21 [Atorrante],premier,
0.55,13,5671,new_entry,hugging,bao-chi-hugging,抱吃 Hugging,抱吃 Hugging,Bao Chi  Hugging,premier,
0.5498,49,10798,new_entry,lunes-de-tsumegos,lunes-de-tsumegos,Lunes de Tsumegos,Lunes de Tsumegos,Lunes de Tsumegos,premier,
0.5497,22,3311,new_entry,ecole-de-go-de-rennes-j-s-kis-20k,ecole-de-go-de-rennes-josekis-20k,Ecole de Go de Rennes - Jôsékis 20k,Ecole de Go de Rennes - Jôsékis 20k,Ecole de Go de Rennes - Josekis 20k,premier,
0.5496,13,6006,new_entry,reducing-opponent-territory,suo-xiao-dui-fang-de-mu-reducing-opponent-territory,縮小對方的目 Reducing opponent territory,縮小對方的目 Reducing opponent's territory ,Suo Xiao Dui Fang De Mu  Reducing opponent's territory ,premier,
0.5496,14,5975,new_entry,snap-back-to-kill,li-yong-bu-po-yan-snap-back-to-kill,利用扑破眼 Snap back to kill,利用扑破眼 Snap back to kill,Li Yong Bu Po Yan  Snap back to kill,premier,
0.5495,16,4126,new_entry,easy-16,easy-16,Easy 16,Easy 16,Easy 16,premier,
